Hash40 Hex,Label,Source,Function Address,Function Name,Function Symbol,Function Demangled,Load Address
0x7ce9765a6,accel_x,scan,015c3cf0,app::ground::get_left_point,_ZN3app6ground14get_left_pointEPKNS_19GroundCollisionLineE,undefined app::ground::get_left_point(app::GroundCollisionLine const *),015c3cf0
0x7b9905530,accel_y,scan,015c3e60,app::ground::get_up_point,_ZN3app6ground12get_up_pointEPKNS_19GroundCollisionLineE,undefined app::ground::get_up_point(app::GroundCollisionLine const *),015c3e64
0xba8ab34c9,accel_y_air,scan,01037198,FUN_01037198,,,010271a4
0xe02425688,accel_y_on_air,scan,010384c0,FUN_010384c0,,,01039074
0xe02425688,accel_y_on_air,scan,010384c0,FUN_010384c0,,,010392a0
0xe02425688,accel_y_on_air,scan,010384c0,FUN_010384c0,,,01039400
0xe02425688,accel_y_on_air,scan,01039a90,FUN_01039a90,,,01039f8c
0xe02425688,accel_y_on_air,scan,01039a90,FUN_01039a90,,,0103a040
0xe02425688,accel_y_on_air,scan,0103a4dc,FUN_0103a4dc,,,0103a9d4
0xe02425688,accel_y_on_air,scan,0103a4dc,FUN_0103a4dc,,,0103adac
0xe9b471e2c,accele_gravity,xref,01124450,FUN_01124450,,,0110bc20
0x3c55cd5b6,ace,scan,025995c0,FUN_025995c0,,,02599684
0x179bc9a17b,active_area_param_table,scan,005d456c,FUN_005d456c,,,005d45dc
0xc33c58e8b,active_frame,scan,0266ce40,FUN_0266ce40,,,0265fd10
0xc33c58e8b,active_frame,scan,0266ce40,FUN_0266ce40,,,02660130
0x3fd1a73e7,add,scan,0133fca0,FUN_0133fca0,,,01340564
0x3fd1a73e7,add,scan,02ebb7a4,FUN_02ebb7a4,,,02ebba3c
0x3fd1a73e7,add,scan,030b7cc8,FUN_030b7cc8,,,030ba164
0x9386a4ea3,add_count,scan,013167f0,FUN_013167f0,,,0131691c
0x12b179886d,add_hp_flag_chance,scan,005d65b4,FUN_005d65b4,,,005d6a04
0xab1306918,add_hp_max,scan,01319740,FUN_01319740,,,01319aec
0x136406a9b8,additions_attack_01,xref,006daf20,FUN_006daf20,,,006db360
0x138a08c894,additions_attack_03,xref,006daf20,FUN_006daf20,,,006db82c
0x13636b6da1,additions_attack_05,xref,006daf20,FUN_006daf20,,,006db34c
0x137d1d98f9,additions_attack_11,xref,006daf20,FUN_006daf20,,,006db818
0x13e3790d5a,additions_attack_16,xref,006daf20,FUN_006daf20,,,006db60c
0x8c50ca65a,adhesion,scan,01315f20,FUN_01315f20,,,01315f54
0x166735dde8,adhesion_floor_invalid,xref,02486920,FUN_02486920,,,02486e14
0x2095191e5,ai,scan,0138948c,FUN_0138948c,,,013899a0
0x2095191e5,ai,scan,014ce430,FUN_014ce430,,,014ce788
0x7888f1692,ai_type,scan,005a7380,FUN_005a7380,,,005a7714
0x7888f1692,ai_type,scan,005e0130,FUN_005e0130,,,005e03bc
0xf25ec86be,air_accel_x_add,scan,006f8154,FUN_006f8154,,,006f8190
0xf25ec86be,air_accel_x_add,scan,006f8154,FUN_006f8154,,,006f823c
0xf71f4d4f8,air_accel_x_mul,scan,0034b410,FUN_0034b410,,,0034d420
0xf71f4d4f8,air_accel_x_mul,scan,00e8c390,FUN_00e8c390,,,00e8c6a8
0xba18057d9,air_accel_y,scan,0034b410,FUN_0034b410,,,0034d3fc
0xba18057d9,air_accel_y,scan,006c34f0,FUN_006c34f0,,,006c3e64
0xba18057d9,air_accel_y,scan,006d5130,FUN_006d5130,,,006d517c
0xba18057d9,air_accel_y,scan,006d5130,FUN_006d5130,,,006d5540
0xba18057d9,air_accel_y,scan,006d9f00,FUN_006d9f00,,,006d79ec
0xba18057d9,air_accel_y,scan,006f22d0,FUN_006f22d0,,,006f2300
0xba18057d9,air_accel_y,scan,009deb20,FUN_009deb20,,,009deb84
0xba18057d9,air_accel_y,scan,00d78750,FUN_00d78750,,,00d787c4
0xba18057d9,air_accel_y,scan,00d9ee10,FUN_00d9ee10,,,00d9ee8c
0xc7fe5ed43,air_attack_b,scan,025b3650,FUN_025b3650,,,025b7950
0xc7888295a,air_attack_f,scan,025b3650,FUN_025b3650,,,025b793c
0xdf3292b3c,air_attack_hi,scan,025b3650,FUN_025b3650,,,025b7a20
0xc7653a168,air_attack_n,scan,025b3650,FUN_025b3650,,,025b75e0
0xbba2bb330,air_brake_x,scan,033de860,FUN_033de860,,,033de8bc
0x9e7d3cd80,air_catch,scan,0033c460,FUN_0033c460,,,0033c48c
0x9e7d3cd80,air_catch,scan,0343a3c0,FUN_0343a3c0,,,0343a4d0
0xbe6a8bf82,air_catch_l,scan,0343a3c0,FUN_0343a3c0,,,0343a774
0x116bdd21b7,air_catch_landing,scan,0343a3c0,FUN_0343a3c0,,,0343a554
0x125e6f621b,air_escape_move_up,xref,02486920,FUN_02486920,,,02486d14
0x125e6f621b,air_escape_move_up,scan,007a4840,FUN_007a4840,,,007a4bc8
0x204c1e14aa,air_escape_passive_trigger_frame,scan,0072d400,FUN_0072d400,,,0072d668
0x12fec93431,air_field_category,scan,0059ba50,FUN_0059ba50,,,0059bca8
0xb420d274e,air_gravity,scan,011247d0,FUN_011247d0,,,01124804
0x1682a194a7,air_ground_speed_brake,scan,006f8154,FUN_006f8154,,,006f81a8
0x1682a194a7,air_ground_speed_brake,scan,006f8154,FUN_006f8154,,,006f8254
0x84ba5b9e3,air_high,scan,00393d1c,FUN_00393d1c,,,00389734
0x84ba5b9e3,air_high,scan,00393d1c,FUN_00393d1c,,,003898ac
0x84ba5b9e3,air_high,scan,00393d1c,FUN_00393d1c,,,003898e0
0x194e265475,air_jump_area_param_table,scan,005d4da4,FUN_005d4da4,,,005d5134
0x9b46acb26,air_lasso,xref,006daf20,FUN_006daf20,,,006db74c
0xedaf21591,air_lasso_data,scan,006d9f00,FUN_006d9f00,,,006d6af8
0xedaf21591,air_lasso_data,scan,006d9f00,FUN_006d9f00,,,006d7a3c
0xedaf21591,air_lasso_data,scan,006d9f00,FUN_006d9f00,,,006d7ab4
0x1920180cfc,air_lasso_hit_limit_angle,scan,011fe9a0,FUN_011fe9a0,,,011ff0b8
0x1177ebb22c,air_limit_gravity,scan,011247d0,FUN_011247d0,,,011247e4
0xa6c490b4e,air_resist,scan,011fe9a0,FUN_011fe9a0,,,011fef9c
0xe36450bae,air_resist_2nd,scan,0343e080,FUN_0343e080,,,0343e0d8
0xee32ab8d1,air_resist_air,scan,0343dde0,FUN_0343dde0,,,0343de9c
0xee8d750ce,air_resist_cup,scan,0343dde0,FUN_0343dde0,,,0343deec
0x12bee29c69,air_resist_cup_2nd,scan,0343e080,FUN_0343e080,,,0343e128
0x11042ce88f,air_resist_ground,scan,0343dde0,FUN_0343dde0,,,0343de38
0xf658f90e3,air_resist_hang,scan,033d0510,FUN_033d0510,,,033d0668
0x19daa9fc98,air_resist_max_frame_hang,scan,033d0510,FUN_033d0510,,,033d0620
0x130a4f48e5,air_resist_max_hang,scan,011fe9a0,FUN_011fe9a0,,,011fea44
0x130a4f48e5,air_resist_max_hang,scan,033d0510,FUN_033d0510,,,033d0688
0xf6afa54e1,air_resist_rope,scan,0343dde0,FUN_0343dde0,,,0343df0c
0x136226333e,air_resist_rope_2nd,scan,0343e080,FUN_0343e080,,,0343e148
0xe81be1d33,air_resistance,scan,03490da0,nn::hid::GetVibrationDeviceHandles,_ZN2nn3hid25GetVibrationDeviceHandlesEPNS0_21VibrationDeviceHandleEiRKjNS_4util10BitFlagSetILi32ENS0_12NpadStyleTagEEE,"undefined nn::hid::GetVibrationDeviceHandles(nn::hid::VibrationDeviceHandle *,int,unsigned int const &,nn::util::BitFlagSet<int,nn::hid::NpadStyleTag>)",03490dd8
0xa35d417ef,air_sp_all,scan,025b3650,FUN_025b3650,,,025b7bb8
0x9511ed2c3,air_sp_lw,scan,025b3650,FUN_025b3650,,,025b77a0
0x842b08495,air_sp_s,scan,025b3650,FUN_025b3650,,,025b7ae8
0xb22d73e85,air_speed_x,scan,005a7380,FUN_005a7380,,,005a7b00
0x1220fc2660,air_speed_x_stable,scan,006f8154,FUN_006f8154,,,006f8180
0x1220fc2660,air_speed_x_stable,scan,006f8154,FUN_006f8154,,,006f822c
0x1220fc2660,air_speed_x_stable,scan,00aa79f0,FUN_00aa79f0,,,00aa7a9c
0x1220fc2660,air_speed_x_stable,scan,00e8c390,FUN_00e8c390,,,00e8c704
0x1220fc2660,air_speed_x_stable,scan,01269050,app::boss_private::common_param_float,_ZN3app12boss_private18common_param_floatENS_8ItemKindENS_20BossCommonParamFloatE,"undefined app::boss_private::common_param_float(app::ItemKind,app::BossCommonParamFloat)",01269098
0x12ec5626fe,air_speed_y_stable,scan,0034b410,FUN_0034b410,,,0034d488
0x12ec5626fe,air_speed_y_stable,scan,006d5130,FUN_006d5130,,,006d5568
0x12ec5626fe,air_speed_y_stable,scan,0116d9a0,FUN_0116d9a0,,,0116c3e4
0x1b644dd10d,akira_shield_data_offset1_x,scan,01641fa0,FUN_01641fa0,,,01641fec
0x1b644dd10d,akira_shield_data_offset1_x,scan,016425b0,FUN_016425b0,,,016425fc
0x1b134ae19b,akira_shield_data_offset1_y,scan,01641fa0,FUN_01641fa0,,,016420b4
0x1b134ae19b,akira_shield_data_offset1_y,scan,016425b0,FUN_016425b0,,,016426c4
0x1b8a43b021,akira_shield_data_offset1_z,scan,01641fa0,FUN_01641fa0,,,01642174
0x1b8a43b021,akira_shield_data_offset1_z,scan,016425b0,FUN_016425b0,,,01642784
0x1b660b6f54,akira_shield_data_offset2_x,scan,01641fa0,FUN_01641fa0,,,01642244
0x1b660b6f54,akira_shield_data_offset2_x,scan,016425b0,FUN_016425b0,,,01642854
0x1b110c5fc2,akira_shield_data_offset2_y,scan,01641fa0,FUN_01641fa0,,,0164230c
0x1b110c5fc2,akira_shield_data_offset2_y,scan,016425b0,FUN_016425b0,,,0164291c
0x1b88050e78,akira_shield_data_offset2_z,scan,01641fa0,FUN_01641fa0,,,016423cc
0x1b88050e78,akira_shield_data_offset2_z,scan,016425b0,FUN_016425b0,,,016429dc
0x16fa59f920,akira_shield_data_size,scan,01641fa0,FUN_01641fa0,,,01642498
0x16fa59f920,akira_shield_data_size,scan,016425b0,FUN_016425b0,,,01642aa8
0x160cec1c3a,alarm_start_wait_frame,scan,02951c2c,FUN_02951c2c,,,0293cdb0
0x33b1871dd,all,scan,0342f870,FUN_0342f870,,,0342f8d0
0x5d0e0396a,alpha,scan,0133fca0,FUN_0133fca0,,,01340578
0xc7cb80f7c,alt_chara_id,scan,03262b80,FUN_03262b80,,,03262ca8
0x2214a781f4,amiibo_inherit_lottery_param_table,scan,031b7580,FUN_031b7580,,,03248208
0x11e86f2aee,amiibo_lottery_id,scan,031b7580,FUN_031b7580,,,03248134
0x15ee0dc667,androssshot_col_depth,scan,01642be0,FUN_01642be0,,,01642d70
0x1458466576,androssshot_col_size,scan,01642be0,FUN_01642be0,,,01642cac
0x500814509,angle,xref,027cd3f0,FUN_027cd3f0,,,027b4900
0x500814509,angle,scan,006cd830,FUN_006cd830,,,006cd8d8
0x500814509,angle,scan,03437140,FUN_03437140,,,034371c4
0x500814509,angle,scan,0344177c,FUN_0344177c,,,03441800
0x500814509,angle,scan,0344ef20,FUN_0344ef20,,,0344f038
0x500814509,angle,scan,034539a0,FUN_034539a0,,,03453a00
0x6500a9a09,angle_,scan,020daff0,FUN_020daff0,,,020db34c
0xa18698f95,angle_to_3,scan,01e74890,switchD_01e886b0::caseD_2,,,01e74ef8
0xa860d1a36,angle_to_4,scan,01e74890,switchD_01e886b0::caseD_2,,,01e755bc
0x78257942b,angle_y,scan,0291e49c,FUN_0291e49c,,,0291e8b0
0x78257942b,angle_y,scan,0291e49c,FUN_0291e49c,,,0291e8c4
0x71b5ec591,angle_z,scan,03459d00,FUN_03459d00,,,03459d6c
0xae2c9ba49,anim_frame,xref,02fe09ec,FUN_02fe09ec,,,02fe1654
0xf2c6d9796,animation_speed,scan,0307c4d8,FUN_0307c4d8,,,0307d374
0xa94e60370,animations,xref,0307ffcc,FUN_0307ffcc,,,03080c48
0xa94e60370,animations,scan,0307c4d8,FUN_0307c4d8,,,0307d408
0xa94e60370,animations,scan,0307c4d8,FUN_0307c4d8,,,0307d440
0xa94e60370,animations,scan,0307c4d8,FUN_0307c4d8,,,0307dde0
0xa94e60370,animations,scan,03081090,FUN_03081090,,,030814b0
0x6037aa95c,app_bg,scan,033797a0,FUN_033797a0,,,0337a828
0x11b011dbf8,appeal_beat_frame,scan,00399308,FUN_00399308,,,0039e344
0xb04e4615e,appeal_heal,xref,02486920,FUN_02486920,,,02486c58
0x99e181983,appeal_hi,scan,034cb9d0,FUN_034cb9d0,,,034ccfa8
0xb4c3b8347,appeal_hi_l,scan,00b34a30,app::FighterSpecializer_Ridley::request_special_hi_wall_effect,_ZN3app25FighterSpecializer_Ridley30request_special_hi_wall_effectERNS_21FighterModuleAccessorE,undefined app::FighterSpecializer_Ridley::request_special_hi_wall_effect(app::FighterModuleAccessor &),00b34a9c
0xbb634be24,appeal_hi_r,scan,00b34a30,app::FighterSpecializer_Ridley::request_special_hi_wall_effect,_ZN3app25FighterSpecializer_Ridley30request_special_hi_wall_effectERNS_21FighterModuleAccessorE,undefined app::FighterSpecializer_Ridley::request_special_hi_wall_effect(app::FighterModuleAccessor &),00b34ac4
0xbb634be24,appeal_hi_r,scan,022e8b70,FUN_022e8b70,,,022e8f98
0x9007be1e4,appeal_lw,scan,034cb9d0,FUN_034cb9d0,,,034cce0c
0xbd5e19a6a,appeal_lw_l,scan,00b34a30,app::FighterSpecializer_Ridley::request_special_hi_wall_effect,_ZN3app25FighterSpecializer_Ridley30request_special_hi_wall_effectERNS_21FighterModuleAccessorE,undefined app::FighterSpecializer_Ridley::request_special_hi_wall_effect(app::FighterModuleAccessor &),00b34ab0
0x15bdb40364,appeal_near_threshold,scan,00399308,FUN_00399308,,,0039e3fc
0x8f98399a4,appeal_s,scan,003a0b54,switchD_003ae420::caseD_0,,,003a0ef8
0x8f98399a4,appeal_s,scan,034cb9d0,FUN_034cb9d0,,,034cce14
0xa7b46d599,appeal_s_l,scan,00b34a30,app::FighterSpecializer_Ridley::request_special_hi_wall_effect,_ZN3app25FighterSpecializer_Ridley30request_special_hi_wall_effectERNS_21FighterModuleAccessorE,undefined app::FighterSpecializer_Ridley::request_special_hi_wall_effect(app::FighterModuleAccessor &),00b34a68
0xa8149e8fa,appeal_s_r,scan,0034b410,FUN_0034b410,,,0034c924
0xa8149e8fa,appeal_s_r,scan,00b34a30,app::FighterSpecializer_Ridley::request_special_hi_wall_effect,_ZN3app25FighterSpecializer_Ridley30request_special_hi_wall_effectERNS_21FighterModuleAccessorE,undefined app::FighterSpecializer_Ridley::request_special_hi_wall_effect(app::FighterModuleAccessor &),00b34a7c
0x66c767e32,appear,scan,005d9af0,FUN_005d9af0,,,005d9bdc
0x108204dd9a,appear_condition,scan,025878f4,FUN_025878f4,,,02583fc4
0x110b56b18c,appear_conditions,scan,02597d38,FUN_02597d38,,,02598228
0x149874f8dd,appear_duck_pow_base,scan,015f9b80,FUN_015f9b80,,,015fa648
0x13b693b2f7,appear_duck_pow_top,scan,015f9b80,FUN_015f9b80,,,015fa58c
0xe003359f7,appear_frame_b,scan,0297af80,FUN_0297af80,,,029ab6f4
0x11bb176354,appear_play_frame,xref,02efeda0,FUN_02efeda0,,,02f03fe4
0x11bb176354,appear_play_frame,xref,02efeda0,FUN_02efeda0,,,02f04524
0xe37322f53,appearance_num,scan,0138948c,FUN_0138948c,,,01389968
0xe37322f53,appearance_num,scan,014ce430,FUN_014ce430,,,014ce750
0xe3e030acd,application_id,scan,02592f2c,FUN_02592f2c,,,02593358
0xe3cbc6e75,approach_flick,scan,0330e7cc,switchD_033109b4::caseD_1,,,0330bd50
0x4d7943d68,area,xref,03029ee8,FUN_03029ee8,,,0302a2b4
0x4161b2ea2,args,scan,0327ed00,FUN_0327ed00,,,0327ef0c
0x59a6ef56c,arm_l,scan,01224600,FUN_01224600,,,01224648
0xf166a4401,arm_l_big_scale,scan,0348f040,FUN_0348f040,,,03515874
0xadd214353,arm_l_hide,scan,01224600,FUN_01224600,,,012246e4
0xc2500e9b0,arm_l_normal,scan,01224600,FUN_01224600,,,01224658
0x461fccbdd,arml,scan,00853890,app::FighterSpecializer_Lucario::save_aura_ball_status,_ZN3app26FighterSpecializer_Lucario21save_aura_ball_statusERNS_26BattleObjectModuleAccessorEbi,"undefined app::FighterSpecializer_Lucario::save_aura_ball_status(app::BattleObjectModuleAccessor &,bool,int)",008538ac
0x461fccbdd,arml,scan,01228420,FUN_01228420,,,0122848c
0x461fccbdd,arml,scan,022aa310,FUN_022aa310,,,022aa3b8
0x57bdfbd15,arml1,scan,01228420,FUN_01228420,,,01228444
0x5e2d6ecaf,arml2,scan,01228420,FUN_01228420,,,01228468
0x50bb5499a,arml4,scan,01228420,FUN_01228420,,,012284b0
0x57cb2790c,arml5,scan,01228420,FUN_01228420,,,012284d4
0x49bf3f6be,armr,scan,010f3bd0,FUN_010f3bd0,,,010f3dd4
0x49bf3f6be,armr,scan,010f4a00,FUN_010f4a00,,,010f4a38
0x49bf3f6be,armr,scan,01228530,app::target::is_target_in_range_from_param_with_base_pos,_ZN3app6target43is_target_in_range_from_param_with_base_posEP9lua_StateNS_8ItemKindEN3phx6Hash40ERKNS4_8Vector2fE,"undefined app::target::is_target_in_range_from_param_with_base_pos(lua_State *,app::ItemKind,phx::Hash40,phx::Vector2f const &)",01228570
0x49bf3f6be,armr,scan,01228740,app::target::is_bullet_in_range_from_param,_ZN3app6target29is_bullet_in_range_from_paramEP9lua_StateNS_8ItemKindEN3phx6Hash40E,"undefined app::target::is_bullet_in_range_from_param(lua_State *,app::ItemKind,phx::Hash40)",01228780
0x49bf3f6be,armr,scan,022aa310,FUN_022aa310,,,022aa3e4
0x53697d370,armr2,scan,01228530,app::target::is_target_in_range_from_param_with_base_pos,_ZN3app6target43is_target_in_range_from_param_with_base_posEP9lua_StateNS_8ItemKindEN3phx6Hash40ERKNS4_8Vector2fE,"undefined app::target::is_target_in_range_from_param_with_base_pos(lua_State *,app::ItemKind,phx::Hash40,phx::Vector2f const &)",0122854c
0x53697d370,armr2,scan,01228740,app::target::is_bullet_in_range_from_param,_ZN3app6target29is_bullet_in_range_from_paramEP9lua_StateNS_8ItemKindEN3phx6Hash40E,"undefined app::target::is_bullet_in_range_from_param(lua_State *,app::ItemKind,phx::Hash40)",0122875c
0x5dff47645,armr4,scan,01228530,app::target::is_target_in_range_from_param_with_base_pos,_ZN3app6target43is_target_in_range_from_param_with_base_posEP9lua_StateNS_8ItemKindEN3phx6Hash40ERKNS4_8Vector2fE,"undefined app::target::is_target_in_range_from_param_with_base_pos(lua_State *,app::ItemKind,phx::Hash40,phx::Vector2f const &)",01228594
0x5dff47645,armr4,scan,01228740,app::target::is_bullet_in_range_from_param,_ZN3app6target29is_bullet_in_range_from_paramEP9lua_StateNS_8ItemKindEN3phx6Hash40E,"undefined app::target::is_bullet_in_range_from_param(lua_State *,app::ItemKind,phx::Hash40)",012287a4
0x5a8f346d3,armr5,scan,01228530,app::target::is_target_in_range_from_param_with_base_pos,_ZN3app6target43is_target_in_range_from_param_with_base_posEP9lua_StateNS_8ItemKindEN3phx6Hash40ERKNS4_8Vector2fE,"undefined app::target::is_target_in_range_from_param_with_base_pos(lua_State *,app::ItemKind,phx::Hash40,phx::Vector2f const &)",012285b8
0x5a8f346d3,armr5,scan,01228740,app::target::is_bullet_in_range_from_param,_ZN3app6target29is_bullet_in_range_from_paramEP9lua_StateNS_8ItemKindEN3phx6Hash40E,"undefined app::target::is_bullet_in_range_from_param(lua_State *,app::ItemKind,phx::Hash40)",012287c8
0xd22f1cbae,assigned_info,scan,03254a60,FUN_03254a60,,,03254a94
0xb09e38b21,at_data_pos,scan,03138844,switchD_031a59ec::caseD_3,,,03138c68
0xfa4085596,atack_parameter,scan,0158ec50,FUN_0158ec50,,,0158ec8c
0xde4fba556,atk_air_b_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2c60
0xd6bbb50f6,atk_air_d_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2e7c
0xd117b0396,atk_air_f_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2b10
0xd210b4857,atk_air_n_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a21b0
0xd210b4857,atk_air_n_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2bd8
0xd363beec4,atk_air_u_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a21a8
0x7ae17b623,atk_def,scan,014f11c0,FUN_014f11c0,,,014aa058
0x9223dd9b4,atk_f_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2070
0x9124d9275,atk_n_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a1f0c
0x9057d34e6,atk_u_mul,scan,003a3760,switchD_003ae730::caseD_0,,,003a2248
0x6dec97c81,attach,scan,033dd580,FUN_033dd580,,,033dd5b0
0x6dec97c81,attach,scan,03471780,FUN_03471780,,,0347179c
0x6dec97c81,attach,scan,034bde80,FUN_034bde80,,,034bdef0
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007cfca8
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d0474
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d0c40
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d140c
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d1bd8
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d23a4
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d2b70
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d333c
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d3b08
0x12a22965a5,attach_effect_kind,scan,007cf610,FUN_007cf610,,,007d42d4
0x12a22965a5,attach_effect_kind,scan,01325fd0,FUN_01325fd0,,,01326108
0x647c02d3b,attack,scan,003a0b54,switchD_003ae420::caseD_0,,,003a111c
0x647c02d3b,attack,scan,030b7cc8,FUN_030b7cc8,,,030b9e80
0x647c02d3b,attack,scan,034cb9d0,FUN_034cb9d0,,,034cc3bc
0x8363eb040,attack12,xref,006daf20,FUN_006daf20,,,006db3b8
0xa5ae1e07e,attack_100,scan,0032f564,switchD_00337f80::caseD_8,,,0032f7bc
0xa5ae1e07e,attack_100,scan,00831950,FUN_00831950,,,00831b9c
0xea34e5703,attack_100_end,scan,0068ef70,FUN_0068ef70,,,0068f0cc
0xea34e5703,attack_100_end,scan,0068f2b0,FUN_0068f2b0,,,0068f374
0xea34e5703,attack_100_end,scan,00831950,FUN_00831950,,,00831c0c
0x99c52257e,attack_11,scan,00831950,FUN_00831950,,,008319b0
0x99c52257e,attack_11,scan,00853de0,FUN_00853de0,,,00853e40
0x99c52257e,attack_11,scan,034121d0,FUN_034121d0,,,034123b0
0x9055b74c4,attack_12,scan,00831950,FUN_00831950,,,00831b0c
0x9055b74c4,attack_12,scan,00853de0,FUN_00853de0,,,00853e68
0x9055b74c4,attack_12,scan,02509f70,FUN_02509f70,,,02502a1c
0x9055b74c4,attack_12,scan,034121d0,FUN_034121d0,,,034122b4
0x9725c4452,attack_13,scan,00831950,FUN_00831950,,,00831b20
0x9725c4452,attack_13,scan,034121d0,FUN_034121d0,,,034122c8
0x13dbe344d7,attack_1_offense_up,xref,02486920,FUN_02486920,,,02486f28
0x16e23efd9f,attack_1_offense_up_dx,scan,007a4840,FUN_007a4840,,,007a4b04
0x1308ed8724,attack_4_hold_scale,scan,006f3c00,FUN_006f3c00,,,006f4380
0xac5f6086f,attack_air,scan,00628870,FUN_00628870,,,00628a6c
0xac5f6086f,attack_air,scan,00fb98d0,FUN_00fb98d0,,,00fb997c
0xac5f6086f,attack_air,scan,033a9cf0,FUN_033a9cf0,,,033a9d68
0xac5f6086f,attack_air,scan,03507870,FUN_03507870,,,03507960
0xc33f869bc,attack_air_b,scan,003a0b54,switchD_003ae420::caseD_0,,,003a0e78
0xc33f869bc,attack_air_b,scan,00831950,FUN_00831950,,,00831b54
0xc33f869bc,attack_air_b,scan,00dc0e60,FUN_00dc0e60,,,00dc0fb4
0xc33f869bc,attack_air_b,scan,00f08bc0,FUN_00f08bc0,,,00f0906c
0xc33f869bc,attack_air_b,scan,00f08bc0,FUN_00f08bc0,,,00f09098
0xc33f869bc,attack_air_b,scan,01195d40,FUN_01195d40,,,01195e10
0x10a6226c40,attack_air_b_arm,scan,00f08bc0,FUN_00f08bc0,,,00f09084
